patente;tipo;bloqueante;veredicto;fecha_correcta;tiene_la_base;calza;evidencia
LCSX-78;analisis_gases;;ILEGIBLE;;Fri Feb 26;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;ausencia_falla_ecm;;ILEGIBLE;;Thu Oct 01;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;calibracion;;ILEGIBLE;;Wed Sep 09;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;cert_cabina;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"CERTIFICADO | Estimado Cliente | Salinas y Fabres S.A., representante de Mack Trucks, Inc., certifica que el camión descrito en el sucesivo, tiene"
LCSX-78;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"MACK GRANITE GU 813 EURO 5 | GU 813 P.J.L. ABS Allison | 3,099 7,493 2,997"
LCSX-78;flujo_descarga;;ILEGIBLE;;Wed Sep 09;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;hermeticidad;SI;ILEGIBLE;;Thu Apr 01;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;inscripcion_rnvm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;inscripcion_sec;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PAGINA 1 de 2 | Comprobante de Declaración de Camión Tanque de Transporte de | Combustibles Líquidos."
LCSX-78;inventario_neumaticos;;NO DECLARA;SIN VENCIMIENTO;Fri Apr 16;si;"VITACORA DE NEUMATICOS | EQUIPO Camión de Combustible 15.000 L KILOMETRAJE 85967 | FECHA 16/04/2026 HOROMETRO 9044"
LCSX-78;laminas_seguridad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;mantencion;;ILEGIBLE;;Wed Jul 29;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;operatividad;;ILEGIBLE;;Tue Nov 10;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;optico_sobrellenado;;ILEGIBLE;;Thu Oct 01;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;permiso_circulacion;SI;DECLARA;2026-09-30;Wed Sep 30;NO;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 LC-SX78-K"
LCSX-78;revision_tecnica;SI;ILEGIBLE;;Fri Feb 26;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Sun Aug 27;si;"PÓLIZA | Ramo : VEHICULOS COMERCIALES Esta entidad aseguradora, en consideración a la | Propuesta presentada por el asegurado, y a las : 8783721-1 Póliza N°"
LCSX-78;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Sep 30;si;"IMPORTANTE INFORMACION SOBRE ESTE SEGURO COBERTURA : El SOAP cubre la muerte, En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados"
LCSX-78;tacografo;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;tc8_sec;SI;ILEGIBLE;;Wed Apr 03;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LCSX-78;torque_ruedas;;ILEGIBLE;;Wed Sep 09;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;aire_acondicionado;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;analisis_gases;;ILEGIBLE;;Tue Aug 18;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;ausencia_falla_ecm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;cert_cabina;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 26 de diciembre de 2025 | Certificado de Prueba de Hermeticidad de Cabina | Mediante el presente documento, Pillado y Cía. Ltda., certifica que realiz"
LKPY-18;factura_compra;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"CAMIÓN GR64BX | 118” +/- 2” | Variation dependent"
LKPY-18;flujo_descarga;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;gps;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"31 de diciembre del 2025 | CERTIFICADO DE SERVICIO GPS | Mediante el presente, se certifica que el cliente Pillado y Compañía Limitada RUT"
LKPY-18;inscripcion_rnvm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
